# STS-N aerodynamics identified from live KSP telemetry (ShuttleSim/tools/identify_stsn_aero.py). M<=0.90: CL=CL0+K sin a cos a, CD=CD0+KD sin^2 a (clean configuration; gear/airbrake increments in the report). M>=1.10: KSP-fitted table stsn_aero_ksp_robust.csv. See the report for held-out validation.
mach,alpha_deg,cl,cd
0.45,-10,-0.415080,0.160934
0.45,-5,-0.209605,0.094188
0.45,-2,-0.082820,0.075316
0.45,0,0.002308,0.071712
0.45,2,0.087436,0.075316
0.45,4,0.172150,0.086110
0.45,6,0.256036,0.104041
0.45,8,0.338685,0.129023
0.45,10,0.419696,0.160934
0.45,12,0.498674,0.199617
0.45,14,0.575233,0.244885
0.45,16,0.649001,0.296517
0.45,18,0.719618,0.354262
0.45,20,0.786741,0.417838
0.45,22,0.786741,0.455930
0.45,25,0.786741,0.515158
0.45,28,0.786741,0.577353
0.45,30,0.786741,0.620756
0.45,35,0.786741,0.737590
0.45,40,0.786741,0.869673
0.45,45,0.786741,1.022685
0.5,-10,-0.364305,0.150614
0.5,-5,-0.183826,0.091988
0.5,-2,-0.072464,0.075412
0.5,0,0.002308,0.072246
0.5,2,0.077081,0.075412
0.5,4,0.151489,0.084893
0.5,6,0.225170,0.100643
0.5,8,0.297766,0.122586
0.5,10,0.368922,0.150614
0.5,12,0.438292,0.184592
0.5,14,0.505538,0.224353
0.5,16,0.570332,0.269704
0.5,18,0.632359,0.320424
0.5,20,0.691316,0.376266
0.5,22,0.691316,0.409724
0.5,25,0.691316,0.461747
0.5,28,0.691316,0.516377
0.5,30,0.691316,0.554500
0.5,35,0.691316,0.657121
0.5,40,0.691316,0.773136
0.5,45,0.691316,0.907534
0.6,-10,-0.269686,0.144599
0.6,-5,-0.135787,0.101103
0.6,-2,-0.053166,0.088805
0.6,0,0.002308,0.086456
0.6,2,0.057783,0.088805
0.6,4,0.112987,0.095839
0.6,6,0.167652,0.107524
0.6,8,0.221512,0.123804
0.6,10,0.274303,0.144599
0.6,12,0.325770,0.169807
0.6,14,0.375660,0.199306
0.6,16,0.423732,0.232953
0.6,18,0.469750,0.270583
0.6,20,0.513491,0.312012
0.6,22,0.513491,0.336835
0.6,25,0.513491,0.375432
0.6,28,0.513491,0.415962
0.6,30,0.513491,0.444246
0.6,35,0.513491,0.520382
0.6,40,0.513491,0.606455
0.6,45,0.513491,0.706167
0.7,-10,-0.209752,0.141784
0.7,-5,-0.105357,0.107873
0.7,-2,-0.040942,0.098285
0.7,0,0.002308,0.096454
0.7,2,0.045559,0.098285
0.7,4,0.088599,0.103769
0.7,6,0.131218,0.112879
0.7,8,0.173210,0.125572
0.7,10,0.214369,0.141784
0.7,12,0.254494,0.161438
0.7,14,0.293391,0.184437
0.7,16,0.330870,0.210669
0.7,18,0.366749,0.240007
0.7,20,0.400851,0.272308
0.7,22,0.400851,0.291661
0.7,25,0.400851,0.321753
0.7,28,0.400851,0.353352
0.7,30,0.400851,0.375404
0.7,35,0.400851,0.434763
0.7,40,0.400851,0.501870
0.7,45,0.400851,0.579610
0.8,-10,-0.169320,0.147425
0.8,-5,-0.084830,0.119980
0.8,-2,-0.032696,0.112220
0.8,0,0.002308,0.110738
0.8,2,0.037313,0.112220
0.8,4,0.072146,0.116658
0.8,6,0.106640,0.124032
0.8,8,0.140625,0.134304
0.8,10,0.173936,0.147425
0.8,12,0.206412,0.163332
0.8,14,0.237892,0.181946
0.8,16,0.268226,0.203177
0.8,18,0.297263,0.226921
0.8,20,0.324864,0.253063
0.8,22,0.324864,0.268726
0.8,25,0.324864,0.293081
0.8,28,0.324864,0.318655
0.8,30,0.324864,0.336502
0.8,35,0.324864,0.384544
0.8,40,0.324864,0.438856
0.8,45,0.324864,0.501774
0.9,-10,-0.150716,0.160875
0.9,-5,-0.075384,0.136405
0.9,-2,-0.028902,0.129486
0.9,0,0.002308,0.128164
0.9,2,0.033518,0.129486
0.9,4,0.064576,0.133443
0.9,6,0.095331,0.140017
0.9,8,0.125632,0.149176
0.9,10,0.155333,0.160875
0.9,12,0.184288,0.175058
0.9,14,0.212356,0.191654
0.9,16,0.239401,0.210584
0.9,18,0.265291,0.231754
0.9,20,0.289900,0.255062
0.9,22,0.289900,0.269028
0.9,25,0.289900,0.290742
0.9,28,0.289900,0.313545
0.9,30,0.289900,0.329457
0.9,35,0.289900,0.372291
0.9,40,0.289900,0.420716
0.9,45,0.289900,0.476814
1,-10,-0.049671,0.151728
1,-5,-0.012005,0.139493
1,-2,0.011104,0.135793
1,0,0.026621,0.134973
1,2,0.044348,0.138485
1,4,0.061998,0.143316
1,6,0.083804,0.155448
1,8,0.109689,0.174868
1,10,0.135274,0.195557
1,12,0.172829,0.195205
1,14,0.209940,0.196061
1,16,0.243967,0.205868
1,18,0.274844,0.224580
1,20,0.305080,0.244361
1,22,0.306908,0.251927
1,25,0.309650,0.263660
1,28,0.282749,0.330330
1,30,0.264815,0.375133
1,35,0.259738,0.447681
1,40,0.255056,0.494200
1,45,0.253647,0.522070
1.1,-10,0.051358,0.142183
1.1,-5,0.051358,0.142183
1.1,-2,0.051051,0.141578
1.1,0,0.050846,0.141174
1.1,2,0.055147,0.146837
1.1,4,0.059448,0.152501
1.1,6,0.072275,0.170128
1.1,8,0.093629,0.199721
1.1,10,0.114983,0.229313
1.1,12,0.154420,0.243969
1.1,14,0.193856,0.258625
1.1,16,0.229886,0.258626
1.1,18,0.262508,0.243972
1.1,20,0.295131,0.229319
1.1,22,0.288634,0.244881
1.1,25,0.278888,0.268225
1.1,28,0.255410,0.361039
1.1,30,0.239758,0.422916
1.1,35,0.228960,0.524995
1.1,40,0.219657,0.567664
1.1,45,0.216956,0.567312
1.2,-10,0.051341,0.141785
1.2,-5,0.051341,0.141785
1.2,-2,0.050991,0.141054
1.2,0,0.050758,0.140567
1.2,2,0.055117,0.146190
1.2,4,0.059475,0.151813
1.2,6,0.072274,0.169377
1.2,8,0.093512,0.198883
1.2,10,0.114750,0.228388
1.2,12,0.147470,0.272584
1.2,14,0.180190,0.316781
1.2,16,0.211240,0.316099
1.2,18,0.240620,0.270539
1.2,20,0.270001,0.224978
1.2,22,0.253351,0.254936
1.2,25,0.228377,0.299873
1.2,28,0.235222,0.374963
1.2,30,0.239785,0.425023
1.2,35,0.228346,0.526919
1.2,40,0.219102,0.567644
1.2,45,0.216518,0.567297
1.5,-10,0.051196,0.141724
1.5,-5,0.051196,0.141724
1.5,-2,0.050815,0.141400
1.5,0,0.050561,0.141184
1.5,2,0.054717,0.146074
1.5,4,0.058872,0.150963
1.5,6,0.071288,0.167258
1.5,8,0.091964,0.194960
1.5,10,0.112641,0.222662
1.5,12,0.140412,0.248008
1.5,14,0.168184,0.273355
1.5,16,0.188765,0.299030
1.5,18,0.202153,0.325035
1.5,20,0.215541,0.351039
1.5,22,0.220641,0.350325
1.5,25,0.228291,0.349255
1.5,28,0.235379,0.398803
1.5,30,0.240105,0.431835
1.5,35,0.227039,0.535278
1.5,40,0.218189,0.567699
1.5,45,0.216310,0.567325
2,-10,0.051169,0.142328
2,-5,0.051169,0.142328
2,-2,0.050951,0.141985
2,0,0.050805,0.141756
2,2,0.054392,0.145572
2,4,0.057980,0.149388
2,6,0.070166,0.164162
2,8,0.090951,0.189894
2,10,0.111735,0.215626
2,12,0.132691,0.216671
