# model=kerbin_stock_spatial
altitude_m,density_kg_m3,pressure_pa,temperature_k,speed_of_sound_mps
55500.0,8.837184780233804e-05,5.726176928627384,225.7257905337176,301.1892226424283
55600.0,8.677022870090263e-05,5.6204451704643015,225.6473975880156,301.1369176739329
55700.0,8.537405009450099e-05,5.516494397366811,225.0959352493329,300.76871653956385
55800.0,8.393399964644991e-05,5.414281048723071,224.715605234979,300.5145144125065
55900.0,8.242699763172785e-05,5.313761563921252,224.57579085443376,300.42101225424807
56000.0,8.099080822865235e-05,5.214892382349493,224.30552617720426,300.24018770900085
56100.0,7.973464204242181e-05,5.117629943395974,223.5899020580879,299.76086210117023
56200.0,7.827516364737143e-05,5.021930686448839,223.49977267646167,299.700439013834
56300.0,7.698328776958899e-05,4.92775105089625,222.98859965097316,299.35751589805017
56400.0,7.56077443183403e-05,4.835047476126379,222.77416120386226,299.2135417185329
56500.0,7.432843909231764e-05,4.743776401527362,222.33076046034776,298.915622094597
56600.0,7.303985737263475e-05,4.653894266487374,221.96625335202987,298.6704883046389
56700.0,7.16943929821665e-05,4.56536684226168,221.83028849410903,298.5789993722297
56800.0,7.048162921658397e-05,4.478297023416921,221.34377684901563,298.25140232767944
56900.0,6.925680867894197e-05,4.392711805168518,220.95335045209106,297.98824468085866
57000.0,6.800638496606015e-05,4.30859392880757,220.70706292199702,297.82212081024966
57100.0,6.678793518069148e-05,4.2259261356251665,220.42164571231535,297.6294875141066
57200.0,6.561708285720346e-05,4.144691166912409,220.04201450540725,297.373074099188
57300.0,6.446260243661201e-05,4.064871763960393,219.66930224134487,297.1211186594309
57400.0,6.330000720817737e-05,3.986450668060214,219.38806133136606,296.93085680624955
57500.0,6.215882766139126e-05,3.909410620502968,219.09820993706094,296.7346422349843
57600.0,6.101016867285385e-05,3.8337343625797504,218.9022107609639,296.6018872520505
57700.0,5.98918379370414e-05,3.7594046355816584,218.6662653711641,296.44199687121704
57800.0,5.877955906063904e-05,3.686404180799789,218.47763294695503,296.3141064598774
57900.0,5.7682658634982505e-05,3.6147157395252347,218.3027651746225,296.19549898643373
58000.0,5.660412756533369e-05,3.544322053049096,218.13001624572664,296.07828200635936
58100.0,5.553347196385262e-05,3.4752058626624667,217.9997851146712,295.98988434533715
58200.0,5.448082367684142e-05,3.407349909656443,217.8730060781163,295.9038045134231
58300.0,5.342915842301555e-05,3.3407369353221212,217.81826826499406,295.8666311505926
58400.0,5.241409050442014e-05,3.2753496809505984,217.69074929421643,295.7800127688005
58500.0,5.141056004941129e-05,3.2111708878329694,217.59125583115267,295.7124133390915
58600.0,5.0407427325630936e-05,3.148183297260331,217.5684078249302,295.6968874016929
58700.0,4.942582047901928e-05,3.0863696505237788,217.53262876603094,295.672572770144
58800.0,4.847718809385839e-05,3.0257126889144095,217.43057862169996,295.6032108346265
58900.0,4.7522392459684885e-05,2.966195153723319,217.43616528300407,295.60700842469396
59000.0,4.659682706591562e-05,2.907799786241603,217.3894736134249,295.57526778532934
59100.0,4.567516492409004e-05,2.850509327760359,217.40658693188246,295.5869016838258
59200.0,4.477607690207589e-05,2.7943065195706818,217.39940945289183,295.5820223783793
59300.0,4.38915272554748e-05,2.7391741029636676,217.40488584373543,295.58574527829654
59400.0,4.302349777818494e-05,2.685094819230414,217.41237842312466,295.5908387254214
59500.0,4.216648635965144e-05,2.6320514096620142,217.44894743796783,295.61569704154925
59600.0,4.1323594447782845e-05,2.580026615549568,217.4985927033696,295.64944078312345
59700.0,4.0486536876262026e-05,2.529003178184168,217.6051157341392,295.72183118100105
59800.0,3.969525068482839e-05,2.4789638388569135,217.5514581402214,295.68536903218506
59900.0,3.888322647010388e-05,2.429891338858898,217.69823800239578,295.7851002407279
60000.0,3.809084889894563e-05,2.381768419481219,217.8257594077616,295.87171878657426
60100.0,3.732091487467826e-05,2.334577822014972,217.91465093602966,295.93208310404793
60200.0,3.6565821334595706e-05,2.2883022877512547,218.0059855242798,295.99409362809496
60300.0,3.582137262182718e-05,2.2429245579811616,218.12367115954973,296.0739757308895
60400.0,3.509258411023331e-05,2.1984273739957887,218.23637004980867,296.15045275752436
60500.0,3.4383895328119606e-05,2.154793477086233,218.3136707202075,296.2028972737917
60600.0,3.368914492605568e-05,2.1120056085435897,218.3913509303752,296.25558993575396
60700.0,3.299962655704309e-05,2.070046509658956,218.52515345111735,296.34632996473346
60800.0,3.232216824801177e-05,2.028898921723428,218.67054156557845,296.44489543769606
60900.0,3.166724844504015e-05,1.988545586028101,218.75378581959623,296.50131589992486
61000.0,3.1020001086747315e-05,1.9489692438640709,218.87367640389803,296.5825552865362
61100.0,3.0390704994106826e-05,1.9101526365224355,218.95640466822053,296.6386000389403
61200.0,2.9764500895323647e-05,1.8720785052942892,219.106775781348,296.74044273398846
